,Airlines,Travel_date,From,To,Departuretime,Arrivaltime,Stops,Price
0,AirAsia,01/03/2022,NewDelhi,Mumbai,08:20,14:10,1stopviaRanchi,"5953"
1,AirAsia,01/03/2022,NewDelhi,Mumbai,08:20,14:10,1stopviaRanchi,"5953"
2,AirAsia,01/03/2022,NewDelhi,Mumbai,20:00,02:25,1stopviaGoa,"5953"
3,AirAsia,01/03/2022,NewDelhi,Mumbai,12:20,02:25,1stopviaGoa,"5953"
4,AirAsia,01/03/2022,NewDelhi,Mumbai,20:45,07:15,1stopviaBengaluru,"5953"
5,AirAsia,01/03/2022,NewDelhi,Mumbai,22:10,12:25,1stopviaJaipur,"5953"
6,GoFirst,01/03/2022,NewDelhi,Mumbai,06:05,14:05,1stopviaPatna,"5954"
7,GoFirst,01/03/2022,NewDelhi,Mumbai,09:00,15:45,1stopviaLucknow,"5954"
8,GoFirst,01/03/2022,NewDelhi,Mumbai,06:00,15:45,1stopviaLucknow,"5954"
9,GoFirst,01/03/2022,NewDelhi,Mumbai,09:10,17:50,1stopviaVaranasi,"5954"
10,GoFirst,01/03/2022,NewDelhi,Mumbai,12:50,22:05,1stopviaRanchi,"5954"
11,IndiGo,01/03/2022,NewDelhi,Mumbai,02:00,04:10,Nonstop,"5955"
12,GoFirst,01/03/2022,NewDelhi,Mumbai,02:00,04:15,Nonstop,"5955"
13,IndiGo,01/03/2022,NewDelhi,Mumbai,04:45,07:10,Nonstop,"5955"
14,SpiceJet,01/03/2022,NewDelhi,Mumbai,06:20,08:40,Nonstop,"5955"
15,IndiGo,01/03/2022,NewDelhi,Mumbai,06:30,08:40,Nonstop,"5955"
16,AirIndia,01/03/2022,NewDelhi,Mumbai,07:00,09:05,Nonstop,"5955"
17,GoFirst,01/03/2022,NewDelhi,Mumbai,07:00,09:10,Nonstop,"5955"
18,IndiGo,01/03/2022,NewDelhi,Mumbai,07:15,09:25,Nonstop,"5955"
19,SpiceJet,01/03/2022,NewDelhi,Mumbai,07:20,09:35,Nonstop,"5955"
20,AirIndia,01/03/2022,NewDelhi,Mumbai,08:00,10:10,Nonstop,"5955"
21,GoFirst,01/03/2022,NewDelhi,Mumbai,08:00,10:10,Nonstop,"5955"
22,IndiGo,01/03/2022,NewDelhi,Mumbai,08:10,10:20,Nonstop,"5955"
23,IndiGo,01/03/2022,NewDelhi,Mumbai,08:45,11:05,Nonstop,"5955"
24,AirIndia,01/03/2022,NewDelhi,Mumbai,09:00,11:15,Nonstop,"5955"
25,IndiGo,01/03/2022,NewDelhi,Mumbai,09:30,12:00,Nonstop,"5955"
26,GoFirst,01/03/2022,NewDelhi,Mumbai,10:30,12:50,Nonstop,"5955"
27,AirIndia,01/03/2022,NewDelhi,Mumbai,10:40,12:50,Nonstop,"5955"
28,IndiGo,01/03/2022,NewDelhi,Mumbai,10:45,13:05,Nonstop,"5955"
29,IndiGo,01/03/2022,NewDelhi,Mumbai,12:00,14:10,Nonstop,"5955"
30,IndiGo,01/03/2022,NewDelhi,Mumbai,16:00,18:15,Nonstop,"5955"
31,IndiGo,01/03/2022,NewDelhi,Mumbai,17:15,19:25,Nonstop,"5955"
32,AirIndia,01/03/2022,NewDelhi,Mumbai,18:00,20:00,Nonstop,"5955"
33,IndiGo,01/03/2022,NewDelhi,Mumbai,18:40,20:50,Nonstop,"5955"
34,GoFirst,01/03/2022,NewDelhi,Mumbai,18:50,21:10,Nonstop,"5955"
35,SpiceJet,01/03/2022,NewDelhi,Mumbai,18:55,21:05,Nonstop,"5955"
36,AirIndia,01/03/2022,NewDelhi,Mumbai,19:00,21:15,Nonstop,"5955"
37,GoFirst,01/03/2022,NewDelhi,Mumbai,19:40,21:55,Nonstop,"5955"
38,SpiceJet,01/03/2022,NewDelhi,Mumbai,19:45,22:05,Nonstop,"5955"
39,AirIndia,01/03/2022,NewDelhi,Mumbai,20:00,22:10,Nonstop,"5955"
40,IndiGo,01/03/2022,NewDelhi,Mumbai,20:00,22:15,Nonstop,"5955"
41,GoFirst,01/03/2022,NewDelhi,Mumbai,21:00,23:15,Nonstop,"5955"
42,IndiGo,01/03/2022,NewDelhi,Mumbai,21:15,23:30,Nonstop,"5955"
43,GoFirst,01/03/2022,NewDelhi,Mumbai,22:30,00:40,Nonstop,"5955"
44,IndiGo,01/03/2022,NewDelhi,Mumbai,23:35,01:45,Nonstop,"5955"
45,IndiGo,01/03/2022,NewDelhi,Mumbai,07:00,14:35,1stopviaJodhpur,"5955"
46,IndiGo,01/03/2022,NewDelhi,Mumbai,07:00,14:35,1stopviaJodhpur,"5955"
47,AirIndia,01/03/2022,NewDelhi,Mumbai,14:30,18:00,1stopviaIndore,"5955"
48,SpiceJet,01/03/2022,NewDelhi,Mumbai,19:20,23:50,1stopviaJaipur,"5955"
49,IndiGo,01/03/2022,NewDelhi,Mumbai,21:50,08:15,1stopviaJaipur,"5955"
50,AirAsia,01/03/2022,NewDelhi,Mumbai,04:25,06:35,Nonstop,"5956"
51,Vistara,01/03/2022,NewDelhi,Mumbai,05:45,07:55,Nonstop,"5956"
